SYMBOL	adj.P.Val	P.Value	logFC
BC021381	0.1306	0.02608644	0.442122
Klhdc3	0.1099	0.01774508	0.442639
D4Ertd22e	0.1235	0.02302317	0.443677
Trp53bp1	0.1396	0.02976739	0.444882
Setmar	0.1053	0.01614621	0.445334
D3Ertd194e	0.1203	0.0217426	0.445348
Wdr77	0.1499	0.03404171	0.446003
Zfp99	0.0999	0.01442461	0.446786
Osgepl1	0.1604	0.03880232	0.447164
Sdh1	0.1141	0.01949618	0.447899
2310058J06Rik	0.1537	0.03565009	0.447966
Zfp597	0.1801	0.04831223	0.448082
2600016J21Rik	0.1165	0.02036579	0.448619
Trim21	0.129	0.02519586	0.44898
Gemin7	0.1589	0.03790905	0.449003
Pum2	0.1033	0.01554049	0.449007
Clip1	0.1319	0.02665066	0.44918
Rps7	0.1291	0.02527742	0.449802
Klf4	0.1203	0.02172187	0.450075
Col6a1	0.1277	0.02475059	0.450579
Sema4d	0.1546	0.03608174	0.451589
Ppp5c	0.1228	0.02264854	0.451717
Ywhah	0.1641	0.04045398	0.451774
Tbl1x	0.1687	0.04254988	0.45191
Elf1	0.1268	0.02429232	0.452035
Nit1	0.1396	0.02978083	0.452122
Cetn4	0.1311	0.02637103	0.452151
D12Wsu95e	0.1782	0.04749549	0.452152
Pdcd5	0.1071	0.01680185	0.452298
Atad1	0.1315	0.02648978	0.452395
Ube2d2	0.1589	0.03794569	0.452587
Rutbc3	0.1464	0.03231445	0.453283
Gtf3c5	0.1252	0.02372708	0.453407
Zbtb24	0.1235	0.02302225	0.45365
rp9	0.1205	0.02184302	0.453917
Sox5	0.1589	0.03794935	0.454459
Krt10	0.1489	0.03356746	0.454742
Slc4a2	0.1565	0.03685714	0.454749
Zfp131	0.1165	0.02029657	0.45479
2810452K22Rik	0.1097	0.01766825	0.455284
Rdh14	0.1429	0.03091124	0.455866
Stag2	0.1251	0.02367754	0.45676
Txndc1	0.1577	0.03729564	0.457064
9530066K23Rik	0.1286	0.02502256	0.457168
Brd2	0.1171	0.02055068	0.457893
D5Ertd708e	0.108	0.01707817	0.458149
Rpl19	0.1206	0.02189578	0.458521
5830457O10Rik	0.1528	0.03533326	0.459351
4632419K20Rik	0.1277	0.02469473	0.459444
Cops2	0.1078	0.0170394	0.460106
Rom1	0.1265	0.02422713	0.460821
Stx5a	0.103	0.01548032	0.461725
1200011O22Rik	0.1395	0.02962829	0.461772
Mus81	0.1028	0.01534355	0.462239
D2Bwg0891e	0.1506	0.03435839	0.4626
Rbm18	0.1249	0.0235629	0.462718
C6.1A	0.1707	0.04357889	0.463208
Polb	0.1286	0.02504714	0.463279
1110008J03Rik	0.1272	0.02445879	0.463445
Mycbp	0.1286	0.02506646	0.463509
Exosc2	0.1709	0.04371989	0.464319
Htatsf1	0.1361	0.0281762	0.465509
1110019L22Rik	0.1047	0.01598998	0.465781
Ap4m1	0.1745	0.0455912	0.466195
Olfr259	0.145	0.03167356	0.466262
2510005D08Rik	0.1809	0.04886358	0.466841
Copeb	0.1822	0.04958234	0.467341
Pus3	0.0985	0.01377813	0.467447
Rpa3	0.1805	0.0485425	0.468099
Mark3	0.1598	0.03849097	0.468193
5730438N18Rik	0.1817	0.04927992	0.468295
D030056L22	0.1417	0.03049886	0.468556
Zrf2	0.1368	0.02853551	0.468959
Gtf2h4	0.1125	0.01882655	0.469069
Plekhg5	0.1249	0.02360623	0.470848
E430026A01Rik	0.103	0.01547986	0.471076
5830442J12Rik	0.1714	0.04393403	0.471106
Eif4enif1	0.1135	0.01935476	0.471212
Mus81	0.1761	0.04644975	0.471248
Pcmt1	0.1219	0.02230603	0.473059
Plekhf2	0.1657	0.0412244	0.473097
Pip5k1b	0.1024	0.01505495	0.473219
D11Wsu47e	0.1589	0.03788042	0.473269
5430428G01Rik	0.1244	0.02338584	0.473294
Rpl23a	0.1028	0.01539728	0.473417
Anapc2	0.1423	0.03063603	0.473479
Ssfa2	0.1414	0.03041389	0.474613
Crebl1	0.1296	0.02558897	0.475087
Actl6a	0.1742	0.0452984	0.475218
Acot8	0.0915	0.01160844	0.476057
Appbp1	0.1089	0.01740601	0.476128
Tubg2	0.1653	0.04096422	0.476488
BC035291	0.1524	0.03497489	0.476922
Nup107	0.1327	0.02696648	0.476968
Pcnx	0.1577	0.03731931	0.477893
4930488P06Rik	0.103	0.01546256	0.479166
Ryk	0.107	0.01674946	0.479456
Snx14	0.1305	0.02605368	0.480481
Chrac1	0.1283	0.02491009	0.480517
Timm17b	0.099	0.01414352	0.480589
Rab28	0.1249	0.02359081	0.480988
1500001L15Rik	0.1033	0.01554223	0.481526
Gprc6a	0.111	0.01824766	0.481615
BC028440	0.1108	0.01805012	0.481754
Zfp96	0.135	0.02785259	0.482287
Fas	0.1769	0.04684267	0.48258
Dvl1	0.1113	0.01839596	0.482783
U2af1-rs2	0.1187	0.02109147	0.483028
Maged1	0.1219	0.02231065	0.48392
Nup85	0.1216	0.02224425	0.484164
2410005K17Rik	0.09	0.01114256	0.484275
Zc3hc1	0.0923	0.0118932	0.485404
Pkn2	0.1709	0.0436576	0.485808
Armc6	0.1216	0.02221409	0.485974
Snap23	0.0958	0.01300649	0.486164
Acate3	0.0955	0.01287325	0.486442
Slco3a1	0.1704	0.04348197	0.486463
Chrd	0.122	0.02237694	0.486946
Aprin	0.1053	0.01614083	0.487334
Sertad3	0.1252	0.02370837	0.488014
BC022641	0.1663	0.04147001	0.488355
B430218L07Rik	0.1327	0.02695066	0.488383
Fbxl12	0.1277	0.02478325	0.488473
Gmppa	0.0979	0.01359141	0.488832
Trp53bp2	0.1491	0.03366656	0.489063
6330548O06Rik	0.1108	0.01805652	0.489345
Lbr	0.0891	0.01089374	0.48963
Sag	0.1557	0.03651618	0.489854
Mapkap1	0.0857	0.01000105	0.490014
Mapk8ip2	0.1309	0.02624166	0.490583
Kdelc1	0.1116	0.01846426	0.490702
Kif2a	0.1104	0.01787252	0.490819
4632428M11Rik	0.1161	0.02015016	0.491301
LOC386486	0.1586	0.037631	0.491795
Sfrs4	0.1465	0.03239512	0.491816
Orc3l	0.151	0.0345688	0.491913
Wasl	0.1764	0.046638	0.492347
Tcf7l2	0.1205	0.02184584	0.492985
Gm561	0.1002	0.01449734	0.493177
Nin	0.1569	0.03703357	0.493187
C77668	0.0879	0.01055538	0.493255
5830416A07Rik	0.094	0.01235657	0.493425
Gtf2f1	0.1501	0.03416928	0.493605
D8Ertd812e	0.1331	0.02706944	0.493647
Tenc1	0.1811	0.04901034	0.494716
Capn10	0.1408	0.03012666	0.494948
Sesn1	0.169	0.04276119	0.496076
Matr3	0.1187	0.02110297	0.496182
Fndc3b	0.0967	0.01322518	0.496187
Leftb	0.1216	0.02217511	0.4969
Hspe1	0.0981	0.01366286	0.497439
Galnt2	0.1723	0.04433618	0.498255
Psmd7	0.106	0.01642554	0.498609
0610041E09Rik	0.1422	0.03060515	0.498807
Lsm8	0.1319	0.02662603	0.498967
Ddx52	0.1206	0.0218917	0.499198
Phtf1	0.1445	0.03145102	0.499416
Klf4	0.1089	0.01738926	0.499665
Slc25a3	0.1454	0.03185747	0.500054
Piwil1	0.1691	0.04282004	0.500916
2610528A15Rik	0.099	0.01413018	0.500972
Zfp637	0.0976	0.01348262	0.501347
Eya2	0.1468	0.03252817	0.502102
Nedd1	0.1286	0.02507579	0.50232
Vkorc1	0.1306	0.02609127	0.50304
2700038C09Rik	0.0948	0.01262123	0.503124
Drctnnb1a	0.0895	0.01100389	0.504701
3230401I01Rik	0.1604	0.0388892	0.504707
Slc4a8	0.1291	0.02534301	0.505086
Irak4	0.1008	0.01469539	0.505404
Dnajb9	0.1198	0.02153961	0.505964
Mettl4	0.1339	0.02743987	0.506229
Cnot4	0.1392	0.02947896	0.506594
Zfp386	0.094	0.01229172	0.506905
Zc3hdc3	0.1408	0.03011729	0.506945
Eef1b2	0.1396	0.02971233	0.507236
Thoc1	0.1578	0.03735099	0.507653
Zfp622	0.1781	0.04739939	0.508289
Snx21	0.1003	0.01454156	0.508405
Metrn	0.1369	0.02858088	0.508459
Riok1	0.122	0.02239121	0.508851
BC019977	0.1386	0.02921192	0.509137
1810009A15Rik	0.1359	0.02810594	0.509441
Sirt1	0.1376	0.02877349	0.509856
Pdpk1	0.1082	0.01718519	0.510037
Gnaq	0.1117	0.01854666	0.510137
Tmub1	0.1125	0.01878452	0.510701
Whdc1	0.1426	0.03080889	0.512093
Rnf103	0.1464	0.03234144	0.512113
Ulk1	0.1519	0.0348206	0.512176
C630013N10Rik	0.1271	0.02441724	0.512325
Nob1	0.1063	0.01657018	0.512767
Itgav	0.1745	0.04548008	0.513328
Msh6	0.122	0.0223424	0.513329
Ctcf	0.1143	0.01954446	0.513369
Large	0.1396	0.0297969	0.513476
Vkorc1	0.1336	0.02727345	0.51385
Ncor1	0.0825	0.00924402	0.513855
Dpp6	0.157	0.03707216	0.513876
Fnbp3	0.1496	0.03391546	0.514106
Papola	0.1336	0.02728328	0.514387
Elys	0.1291	0.02529993	0.514874
Acvr2b	0.1187	0.02107052	0.515176
D15Ertd735e	0.1553	0.0363467	0.515181
Qtrt1	0.0969	0.01328956	0.515576
Galntl4	0.1236	0.0231009	0.515858
Zdhhc21	0.1277	0.02471843	0.516816
Sfrs3	0.1259	0.02401364	0.517245
Il17rc	0.0891	0.01090902	0.517426
Zfyve21	0.0876	0.01045318	0.517559
Ecd	0.0914	0.01153188	0.517596
Nagpa	0.0749	0.00727235	0.518097
Dag1	0.1378	0.02884992	0.518147
Angptl3	0.1814	0.04915782	0.518785
Ulk2	0.1697	0.04315585	0.518946
5830457O10Rik	0.1725	0.04443381	0.519001
Rad52	0.1271	0.02437897	0.519654
5730596K20Rik	0.1822	0.04966042	0.520141
Sfrs3	0.123	0.02274563	0.52021
Ttc4	0.1033	0.01556574	0.521072
1810008A18Rik	0.1607	0.03903774	0.521117
A230106M15Rik	0.0921	0.01177419	0.523356
Lrrc8a	0.1504	0.0342981	0.523788
Inhba	0.1808	0.04880664	0.52397
Phkb	0.1203	0.02174424	0.52414
Zhx3	0.0851	0.00983782	0.524818
Rps5	0.1107	0.01797591	0.525067
Ush2a	0.0736	0.00687686	0.525609
Stx12	0.1236	0.02308892	0.526819
Bcl2l2	0.1748	0.04583398	0.527564
Entpd2	0.1163	0.02020804	0.527654
Anks6	0.1687	0.04256844	0.527708
Ppp2r5d	0.0968	0.01324562	0.528221
Mfap3	0.0729	0.00671675	0.528354
Herpud1	0.1465	0.03240112	0.52891
Scrib	0.0823	0.00920887	0.52935
Ap1gbp1	0.1293	0.02542244	0.529527
Eif4enif1	0.0803	0.00855868	0.529687
Ssbp3	0.094	0.01230157	0.52975
Taf5	0.1822	0.04953008	0.530157
Bbs7	0.1679	0.04210602	0.530368
Rpain	0.0962	0.0131161	0.530981
Asb6	0.1156	0.01992233	0.531168
Osr2	0.1525	0.03521004	0.531672
Repin1	0.0903	0.01123116	0.533305
6030457N17Rik	0.0871	0.01033225	0.533643
Spec1	0.1781	0.0473775	0.533699
2410016O06Rik	0.1171	0.02052902	0.533919
Zfpl1	0.1595	0.0383562	0.534726
AA415817	0.0978	0.01355118	0.535179
Rpo1-1	0.1475	0.03279052	0.535636
Nol1	0.1426	0.03079249	0.535705
Mfap3	0.1127	0.01895818	0.53592
Fbxo46	0.0985	0.0138854	0.536126
Cetn3	0.1063	0.01656985	0.536174
1810009H17Rik	0.1063	0.01653893	0.536474
P4ha2	0.1402	0.0299613	0.536985
Trove2	0.1104	0.01789042	0.537698
Rfc5	0.1392	0.02945678	0.53778
2310069P03Rik	0.102	0.01493634	0.538028
Zcchc7	0.0903	0.01124586	0.53863
D930005D10Rik	0.1478	0.03293786	0.538756
2310043N13Rik	0.1425	0.03071352	0.538832
Cog3	0.178	0.04730263	0.539347
Nfix	0.0999	0.01436789	0.540006
1700023O11Rik	0.1095	0.01762387	0.5405
Ddit3	0.1504	0.03427013	0.541005
Sfrs7	0.1427	0.03083058	0.541657
Vamp2	0.1808	0.04880493	0.541898
Mic2l1	0.1299	0.02573471	0.542188
Klf4	0.1129	0.01907225	0.543814
Cript	0.107	0.01678281	0.544007
Pja2	0.1432	0.03103302	0.54407
2700084L06Rik	0.1066	0.01662693	0.544658
Csf1	0.1094	0.01752936	0.544764
Mfap1b	0.1077	0.01700527	0.545313
Zfp131	0.0885	0.01074801	0.545379
Brpf1	0.0946	0.0125035	0.546358
St13	0.1562	0.03673849	0.546579
Slc25a38	0.1103	0.01782418	0.546923
Zfp639	0.104	0.01579227	0.54701
Fcmd	0.1593	0.03829499	0.547148
Rtkn	0.1616	0.03946441	0.547239
Trex2	0.1541	0.03578801	0.547371
Cdc2l5	0.0905	0.01130353	0.547788
Mrps22	0.1273	0.02451591	0.548247
Prdx4	0.1753	0.04604908	0.548468
Hoxa13	0.1821	0.04945953	0.548657
Stard3nl	0.084	0.00954618	0.548838
Cdc2l2	0.1324	0.0268697	0.549057
Jak2	0.1379	0.02888393	0.549766
Btbd4	0.1806	0.04868269	0.549933
Ctdsp1	0.1237	0.02312165	0.549959
Cnot3	0.0954	0.01283823	0.551428
Wdr34	0.0915	0.01165333	0.552983
Zfp64	0.0994	0.01424154	0.553371
Adcy6	0.1125	0.01878186	0.553527
Rabep1	0.1737	0.04507928	0.553537
D2Ertd391e	0.1133	0.01925489	0.554659
D430018P08	0.1804	0.04845214	0.554796
3110001D03Rik	0.0783	0.00801837	0.555471
Rbm5	0.1545	0.03595996	0.556761
N6amt1	0.1097	0.01765578	0.557215
C630029K18Rik	0.1082	0.01717906	0.557487
Phf2	0.1045	0.0159427	0.557627
Dap3	0.0897	0.01110142	0.55802
Prrx1	0.1653	0.04090345	0.558362
Nme7	0.1569	0.03703549	0.558637
Stim1	0.0754	0.00736318	0.558641
Cdc42ep4	0.1028	0.01530953	0.558807
Dnajb10	0.0985	0.01390208	0.558936
Rab11fip3	0.1364	0.02831186	0.55942
Zfp524	0.095	0.01271558	0.559819
Dmwd	0.1294	0.02547053	0.560417
Tnrc6c	0.1811	0.04903049	0.560438
Ncoa5	0.0704	0.00617879	0.560535
Wrb	0.1132	0.01919968	0.560646
Myst1	0.0654	0.00489566	0.560835
Ddx19	0.1545	0.03600743	0.560941
2700023B17Rik	0.111	0.01824163	0.561368
Adarb1	0.1107	0.01796657	0.561371
9130404D08Rik	0.1605	0.0389529	0.561387
Ptgis	0.1453	0.03178669	0.561723
Lrrn6a	0.1678	0.04203207	0.561832
Zfp553	0.1784	0.0475831	0.561875
Arl6	0.0829	0.0093078	0.562249
Dag1	0.1454	0.03183811	0.562587
4930432B04Rik	0.1156	0.01993143	0.562731
Gemin4	0.1403	0.02999855	0.562796
Lypd5	0.1551	0.03627759	0.562932
1110007A13Rik	0.1158	0.01999564	0.563019
Apg16l	0.0742	0.00702364	0.563579
Zfp238	0.1618	0.03954079	0.563876
2310061F22Rik	0.1189	0.02117207	0.564318
2700088M22Rik	0.0811	0.00880419	0.565375
Smad2	0.1033	0.01558413	0.565548
Homer1	0.1425	0.03071648	0.565703
Snta1	0.1234	0.02296286	0.566126
Slc45a4	0.1301	0.02585454	0.566277
Pkn2	0.0895	0.01100254	0.566499
Nhlrc2	0.1443	0.03137275	0.566968
AU019823	0.1754	0.04609448	0.567443
1110020M19Rik	0.1618	0.03952633	0.567831
Mcph1	0.1745	0.04561657	0.568518
Snora65	0.1507	0.03445014	0.568654
Centg3	0.1251	0.02366137	0.569217
Cbr2	0.1653	0.04096703	0.569647
4833436C18Rik	0.1123	0.0186802	0.569897
Clic4	0.0863	0.01013859	0.570646
Rpl27a	0.0985	0.01393577	0.571221
Tcof1	0.1541	0.03580404	0.571658
Zyx	0.1291	0.02530878	0.573042
D630014A15Rik	0.1385	0.02916866	0.573042
Krba1	0.0985	0.01383147	0.573063
Dmwd	0.1198	0.02153436	0.573249
Dnchc1	0.0845	0.00963013	0.573294
Map3k6	0.1654	0.04105884	0.573312
Abi2	0.1475	0.03283847	0.57333
Ppid	0.0955	0.01291298	0.574185
Smg7	0.094	0.0123491	0.574511
Rnf25	0.0734	0.00684403	0.57485
0610037D15Rik	0.1804	0.04847791	0.57495
Zranb1	0.1753	0.04604766	0.574996
U2af1-rs1	0.1107	0.01800129	0.575087
E2f4	0.0985	0.01397035	0.575211
Mllt3	0.182	0.04941601	0.575221
LOC239102	0.0955	0.0129033	0.575229
Foxj3	0.1133	0.01926508	0.575589
Arl3	0.1352	0.02793754	0.575622
Prkag2	0.1593	0.03825661	0.575719
Exdl2	0.1061	0.01646246	0.575846
Stard13	0.1004	0.01457674	0.57598
1110038D17Rik	0.0878	0.01053773	0.577466
Wiz	0.1116	0.01850974	0.577473
Pdpk1	0.1024	0.01503532	0.577715
Arid2	0.1103	0.01784181	0.57806
Cpne2	0.0743	0.00704612	0.578178
BC026744	0.1396	0.02981025	0.57888
1700037C18Rik	0.1826	0.04989772	0.578908
Mark2	0.0817	0.00901959	0.579096
D2Bwg1356e	0.1745	0.04554421	0.579245
Rab10	0.0903	0.01124505	0.579728
3300001P08Rik	0.0985	0.01386157	0.580258
Ssbp3	0.1164	0.02022579	0.580461
Zbed4	0.0987	0.01405704	0.580796
Zfp64	0.0803	0.00849561	0.580977
Ndst1	0.0983	0.01371908	0.581355
4932409F11Rik	0.1097	0.01771262	0.581578
Plagl2	0.0876	0.01047349	0.581702
Prps2	0.1433	0.0310767	0.582201
2310058J06Rik	0.1006	0.014643	0.582223
Jmjd2c	0.1644	0.04057803	0.58257
Irf2bp1	0.0924	0.0119202	0.582805
Csnk1e	0.0819	0.00906281	0.583036
Gga1	0.1024	0.0150794	0.583189
Zfp574	0.0673	0.00553323	0.583476
Dnajc10	0.1232	0.0228177	0.584154
2210008I11Rik	0.0953	0.01278593	0.584399
2810405I11Rik	0.1129	0.01908133	0.58478
Spag7	0.0726	0.00660246	0.584931
Ncam1	0.1682	0.04220383	0.585022
Pum1	0.1458	0.03203672	0.58568
BC024868	0.0871	0.01032973	0.586016
1500011H22Rik	0.0991	0.01417638	0.586996
Prrx1	0.1781	0.04740876	0.58717
Scye1	0.0659	0.00506533	0.587312
Abcc9	0.1149	0.01974182	0.587865
Traf6	0.114	0.01946058	0.588073
2210016L21Rik	0.1687	0.04256158	0.58914
Dhx15	0.135	0.02777848	0.589512
Otud7b	0.1719	0.04416649	0.590348
Gtf3c5	0.0654	0.00487922	0.590957
Zfp212	0.1546	0.03613799	0.591245
Scgf	0.135	0.02781613	0.591252
Il27ra	0.1132	0.0192198	0.591345
Armc8	0.0662	0.00511655	0.591531
Eno3	0.1277	0.02472151	0.591701
Papolg	0.1022	0.01497691	0.591743
Dek	0.1639	0.04034842	0.593086
Rheb	0.0896	0.01105939	0.593087
Traf2	0.1525	0.03512938	0.593327
Rev1	0.1339	0.02746435	0.593651
2310042L06Rik	0.091	0.01141708	0.593707
2700078K21Rik	0.1605	0.03895306	0.593864
Tcea3	0.1541	0.03580291	0.594005
Mia3	0.0746	0.00721611	0.59408
Taf6	0.1014	0.01482852	0.594778
2900073G15Rik	0.1671	0.04178819	0.595548
Caskin2	0.0689	0.00584498	0.595728
2610209M04Rik	0.0939	0.01224648	0.596921
St7l	0.084	0.00953336	0.597182
Btbd14b	0.1599	0.03854643	0.598028
Dscr5	0.0978	0.01355343	0.598157
St7l	0.0665	0.00527656	0.598487
Bahd1	0.112	0.01862205	0.598799
Helz	0.1255	0.02391073	0.599003
2610036D13Rik	0.0879	0.01057224	0.599378
MGC68323	0.1445	0.03145924	0.599401
Frmd6	0.1709	0.04368517	0.599655
Stoml2	0.1767	0.04676637	0.599789
5033405K12Rik	0.1028	0.01538885	0.600327
Dus3l	0.1685	0.04241547	0.600828
Pias3	0.1324	0.02687171	0.600884
Smo	0.1125	0.01884515	0.601247
Ift20	0.1322	0.02676765	0.602075
Dctn6	0.0988	0.01409666	0.602161
Rsad1	0.0677	0.00561517	0.602357
Sv2a	0.1557	0.03654436	0.602568
Tnfrsf10b	0.1525	0.03521161	0.602646
Cdk5rap1	0.1116	0.01847082	0.603799
1300006N24Rik	0.0811	0.00885388	0.604876
Usp38	0.0805	0.00869142	0.605116
Rbm38	0.0658	0.00499428	0.605813
Bcl2l12	0.141	0.03024397	0.605936
Cav1	0.0913	0.01150692	0.606175
Bbs5	0.1054	0.01621149	0.606308
Arhgap20	0.1587	0.03769753	0.606515
Siat7f	0.0744	0.00709562	0.607103
Efhd1	0.1587	0.03766932	0.607471
Pank4	0.0659	0.00500871	0.608057
Rnf19	0.1253	0.02376372	0.609129
Pigm	0.1458	0.03197678	0.610337
Uhrf2	0.1087	0.017305	0.610399
4930431B11Rik	0.1094	0.0175172	0.610543
Col1a2	0.0869	0.0102871	0.611141
Slc4a3	0.1271	0.02443891	0.611758
Cdc37l1	0.0939	0.01223846	0.612456
AJ554213	0.1246	0.02345712	0.61332
Dcp1b	0.1171	0.02054124	0.61387
Ulk2	0.1454	0.03183147	0.613943
9130017A15Rik	0.0668	0.0053999	0.614854
0610034P02Rik	0.0709	0.00630651	0.614912
AI790205	0.0791	0.00820508	0.615129
Pdcd7	0.0736	0.00688281	0.615294
C330046G03Rik	0.1233	0.02289048	0.615506
9430034D17Rik	0.0978	0.01352883	0.615629
4121402D02Rik	0.1598	0.0384834	0.615973
Sorcs3	0.1458	0.03199563	0.616029
Serbp1	0.0834	0.00941636	0.616158
Trim32	0.1087	0.01733076	0.617258
Il17rc	0.0811	0.00887311	0.617453
Btbd11	0.1127	0.01895897	0.617773
6530405K19	0.0945	0.01244701	0.617795
Zswim3	0.1224	0.02253352	0.618117
C80913	0.0644	0.00467716	0.618374
Thoc3	0.1527	0.03525661	0.618703
Mettl1	0.1488	0.03353106	0.619824
Ppp5c	0.0815	0.00895917	0.620044
Taf3	0.1291	0.02534835	0.620273
Pfkm	0.0689	0.00586006	0.620427
Rb1	0.1198	0.02156194	0.620725
2010300G19Rik	0.0677	0.00562302	0.621221
Dscr5	0.1125	0.01880804	0.621225
Vkorc1	0.0852	0.00986852	0.621817
Atp2c1	0.1541	0.03582102	0.622031
Lzts2	0.0759	0.00745555	0.622143
1810010N17Rik	0.1165	0.02027986	0.622232
Aven	0.107	0.01676004	0.622599
Zfp533	0.1615	0.03939427	0.623093
2410066E13Rik	0.0665	0.00527907	0.623877
Frs2	0.1469	0.0325948	0.624439
Aak1	0.1593	0.03827252	0.625272
A030012M09Rik	0.0731	0.00677065	0.625636
Ppp2r5d	0.0646	0.00473423	0.625811
Mettl1	0.15	0.03413781	0.627597
Zfp592	0.0948	0.01262508	0.627804
Rbm5	0.0998	0.01433665	0.628143
D1Bwg0212e	0.0719	0.0065043	0.628356
Crsp8	0.0654	0.00490276	0.629577
Ncam1	0.1025	0.01513641	0.629719
Abat	0.1232	0.02279935	0.63008
Ythdf3	0.1589	0.03795001	0.630397
Gemin7	0.0886	0.01079049	0.631624
Cnot10	0.1033	0.0156257	0.631699
Gata6	0.1323	0.02683302	0.632126
LOC433224	0.1822	0.04964531	0.632167
Prpf3	0.0948	0.01267646	0.632343
Bucs1	0.1102	0.01779555	0.632445
Yaf2	0.1028	0.01538534	0.632453
Pigf	0.094	0.01232982	0.633084
Rras2	0.1456	0.03190202	0.633749
4930432O21Rik	0.1151	0.01978784	0.633789
Fip1l1	0.1653	0.04100587	0.633881
Lrrc20	0.0915	0.01159523	0.634247
Ase1	0.0654	0.00487642	0.634665
1700001L23Rik	0.1652	0.04085627	0.635543
4833442J19Rik	0.119	0.0212497	0.635588
6430604K15Rik	0.1715	0.04399692	0.635933
Serbp1	0.0677	0.00563092	0.63641
Herpud1	0.0765	0.00761229	0.636776
Gkap1	0.1234	0.02293046	0.636909
1110018J18Rik	0.0704	0.00617217	0.637488
Prkcdbp	0.1471	0.0326699	0.637992
AA960558	0.1432	0.03100841	0.638495
Akap8l	0.1552	0.03630164	0.638533
D5Ertd689e	0.0668	0.00538564	0.639229
Avpi1	0.0625	0.00430729	0.639496
Wtip	0.1657	0.04123511	0.639593
Ptpn14	0.0967	0.01320125	0.639809
Rdh7	0.1203	0.02172007	0.640021
Grik4	0.1458	0.03206103	0.64035
Ric3	0.1067	0.01666119	0.640351
Ccar1	0.0734	0.00681982	0.64058
Mecp2	0.0903	0.01122063	0.640815
Als2cr4	0.0811	0.00881143	0.64102
Per2	0.1533	0.03547898	0.64142
1700113I22Rik	0.1733	0.04491364	0.641474
D730039F16Rik	0.0612	0.00386691	0.642367
2310066N05Rik	0.0583	0.00342235	0.642927
Zfp410	0.178	0.04730624	0.643344
2810055E05Rik	0.0637	0.00448576	0.64374
Klk15	0.1238	0.02319742	0.645156
Ttc17	0.1026	0.01515423	0.64567
Ing1	0.0914	0.01154129	0.645752
Lrriq2	0.1811	0.04905402	0.646083
Jak1	0.0955	0.01288899	0.64655
Zswim1	0.0659	0.00504244	0.64691
Npm3	0.105	0.01607788	0.647704
Epb4.1l5	0.0879	0.01060614	0.647832
Pclo	0.1687	0.04254521	0.647858
Centg3	0.0731	0.00677853	0.649101
Mta1	0.059	0.00352473	0.650911
Phc1	0.0764	0.00757059	0.650959
Adpgk	0.0923	0.01190133	0.651285
Bcl9l	0.0868	0.01027559	0.65158
1110019N10Rik	0.1295	0.025515	0.651708
Ube2a	0.0785	0.00807039	0.652147
Trex1	0.0697	0.00599181	0.652623
Tdrd3	0.0714	0.0064242	0.652641
Sart1	0.0704	0.0062048	0.652945
Ankrd54	0.0948	0.01256346	0.652975
Ddb2	0.104	0.0157834	0.653635
EG330503	0.1732	0.04488735	0.654654
Gtpbp6	0.0625	0.00432203	0.654978
Agrn	0.1258	0.02398025	0.655087
Acvr1	0.0946	0.01248367	0.655101
2900073H19Rik	0.1317	0.02656925	0.655263
Plekhc1	0.116	0.02011985	0.655594
5730410I19Rik	0.0583	0.00341166	0.655849
D230014K01Rik	0.1487	0.03348472	0.655941
Prim2	0.1116	0.0184831	0.655943
BC019977	0.0704	0.00618654	0.656042
Exdl2	0.0915	0.01159026	0.656551
Dppa5	0.1028	0.01539907	0.656646
Gabpb1	0.1117	0.01853684	0.656647
1810055G02Rik	0.0612	0.0039547	0.657065
Epc1	0.0821	0.00913971	0.657107
A830073O21Rik	0.1309	0.02626338	0.657717
Slc39a13	0.0889	0.01084516	0.657936
Igsf1	0.1299	0.02570925	0.658098
Ddit3	0.074	0.00699323	0.658291
Fbxw4	0.1028	0.01531598	0.658293
Pdzrn3	0.0985	0.0139441	0.658352
Senp1	0.141	0.03024912	0.658369
Tank	0.0677	0.00562347	0.658549
Pold2	0.1226	0.02257041	0.658651
D430026P16Rik	0.1761	0.04647971	0.65907
E130309F12Rik	0.1784	0.04758913	0.65921
Zfp748	0.0974	0.01339948	0.659226
Ptma	0.1255	0.02389296	0.659924
Pms2	0.0903	0.0112389	0.660156
AW212394	0.1383	0.02905859	0.660285
Oat	0.0791	0.00824445	0.66066
Antxr1	0.161	0.03917611	0.661426
5630401D24Rik	0.0962	0.01310472	0.661542
Gcap14	0.1247	0.02347067	0.661938
Rac3	0.1181	0.02090118	0.662641
D16Ertd472e	0.0763	0.00755477	0.662951
Tmod2	0.111	0.01820122	0.663493
Pscd3	0.1127	0.01894279	0.664105
Arpm2	0.1793	0.04798568	0.664477
C330018L13Rik	0.107	0.0167315	0.664527
C79267	0.135	0.02784884	0.664868
Stk38l	0.1589	0.03799173	0.665032
Insig2	0.0907	0.01133592	0.665077
BC017647	0.0811	0.00886125	0.665142
LOC228715	0.0719	0.00651795	0.665669
B230312I18Rik	0.1202	0.02166285	0.665957
2410002O22Rik	0.116	0.02013187	0.66614
Sprr2a	0.0791	0.00820298	0.66618
Gpsm1	0.1367	0.02844724	0.666242
Ebf1	0.1745	0.04549054	0.666455
Cugbp2	0.0618	0.0040798	0.666731
2410017I18Rik	0.0734	0.00685063	0.667048
